Institution,Awards,Payout,Type,Year
Moraine Valley Comm. College,"2,238","$2,160,089 ",Public-2 year,2012-2013
Morton College,915,"$759,944 ",Public-2 year,2012-2013
Oakton Community College,"1,072","$982,094 ",Public-2 year,2012-2013
Olive Harvey College,"1,272","$1,129,153 ",Public-2 year,2012-2013
Olney Central College,216,"$193,392 ",Public-2 year,2012-2013
Parkland College,"1,215","$1,327,828 ",Public-2 year,2012-2013
Prairie State College,"1,275","$1,232,230 ",Public-2 year,2012-2013
Rend Lake College,424,"$405,658 ",Public-2 year,2012-2013
Richard J. Daley College,"1,797","$1,555,470 ",Public-2 year,2012-2013
Richland Community College,451,"$369,662 ",Public-2 year,2012-2013
Rock Valley College,"1,490","$1,171,123 ",Public-2 year,2012-2013
Sauk Valley Community College,466,"$429,238 ",Public-2 year,2012-2013
Shawnee Community College,227,"$158,948 ",Public-2 year,2012-2013
South Suburban Coll of Cook Cty,"1,666","$1,610,694 ",Public-2 year,2012-2013
Southeastern Illinois College,273,"$243,628 ",Public-2 year,2012-2013
Southwestern Illinois College,"1,032","$815,279 ",Public-2 year,2012-2013
Spoon River College,366,"$431,078 ",Public-2 year,2012-2013
Triton College,"1,732","$1,763,232 ",Public-2 year,2012-2013
Wabash Valley College,110,"$102,144 ",Public-2 year,2012-2013
Waubonsee Community College,"1,297","$1,029,345 ",Public-2 year,2012-2013
Wilbur Wright College,"2,324","$1,950,273 ",Public-2 year,2012-2013
William Rainey Harper College,"1,441","$1,878,429 ",Public-2 year,2012-2013
Lincoln College*,--,--,,2012-2013
MacCormac College*,--,--,,2012-2013
Morrison Institute of Tech*,--,--,,2012-2013
Blessing-Rieman College of Nursing,48,"$160,169 ",Hospital Schools,2012-2013
Capital Area School of Prac Nursing,52,"$157,917 ",Hospital Schools,2012-2013
Graham Hospital School of Nursing,39,"$134,499 ",Hospital Schools,2012-2013
Lakeview College of Nursing,86,"$277,030 ",Hospital Schools,2012-2013
Methodist College of Nursing,234,"$793,992 ",Hospital Schools,2012-2013
National University of Health Sciences,13,"$41,536 ",Hospital Schools,2012-2013
Resurrection University,101,"$322,241 ",Hospital Schools,2012-2013
Rush University-Med Tech,19,"$65,912 ",Hospital Schools,2012-2013
St. Anthony College of Nursing,86,"$291,541 ",Hospital Schools,2012-2013
St. Francis Medical Ctr College of Nursing,146,"$515,388 ",Hospital Schools,2012-2013
St. Johns College Dept of Nursing,28,"$113,515 ",Hospital Schools,2012-2013
Trinity College of Nursing & Health Science,32,"$100,327 ",Hospital Schools,2012-2013
American Academy of Art,146,"$514,515 ",For Profit,2012-2013
Argosy University,--,--,For Profit,2012-2013
DeVry University - Chicago,"2,816","$7,872,869 ",For Profit,2012-2013
Fox College,212,"$592,917 ",For Profit,2012-2013
Harrington College of Design,113,"$250,615 ",For Profit,2012-2013
Kendall College,557,"$1,462,300 ",For Profit,2012-2013
Le Cordon Bleu College of Culinary Arts,179,"$368,527 ",For Profit,2012-2013
Midstate College,262,"$640,103 ",For Profit,2012-2013
Northwestern College,837,"$1,947,772 ",For Profit,2012-2013
The Illinois Institute of Art,"1,212","$3,592,186 ",For Profit,2012-2013
Chicago State University,"2,335","$6,013,567 ",Public - 4 year,2013-2014
Eastern Illinois University,"2,548","$9,131,215 ",Public - 4 year,2013-2014
